WKT,Name,Beschreibung,OSM,Generated
POINT (13.2909753 52.5084032),Lietzensee,im Lietzenseepark,"Lietzenseepark, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, Germany",True
POINT (13.3105153 52.508354),Trinitatiskirche,auf dem Karl-August-Platz,"Trinitatiskirche, Karl-August-Platz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10625, Germany",True
POINT (13.299376 52.5045554),Spielbrunnen,auf dem Stuttgarter Platz,"Spielbrunnen, Stuttgarter Platz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10627, Germany",False
POINT (13.2958998 52.5019553),Ein Beet am Kracauerplatz,auf dem Kracauerplatz,"Kracauerplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10629, Germany",False
POINT (13.3005458 52.4952656),Großer Abenteuerspielplatz,am Hochmeisterplatz,"Spielplatz Hochmeisterplatz - Tausendundeine Nacht, Westfälische Straße, Halensee, Charlottenburg-Wilmersdorf, Berlin, 10709, Germany",False
POINT (13.3109243 52.4935978),Großer Abenteuerspielplatz,im Preußenpark,"52.49359, 13.31092",False
POINT (13.3152 52.4992984),Spielplatz,im Olivaer Platz,"Integrativer Spielplatz Olivaer Platz, Olivaer Platz, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10707, Germany",False
POINT (13.3395873 52.4889833),Der Bayrische Löwe,auf dem Bayerischen Platz,"Löwen-Denkmal, Grunewaldstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Germany",False
POINT (13.3441552 52.4849738),Rathaus Schöneberg,,"Rathaus Schöneberg, 1, John-F.-Kennedy-Platz, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Germany",False
POINT (13.3440015 52.483321),Goldene Hirsch,im Rudolph-Wilde-Park,"Hirschbrunnen, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Germany",False
POINT (13.3206343 52.4835226),Sonnenuhr,an der Kreuzung Uhlandstraße/Blissestraße,"Mimi's Imbiss, 23, Blissestraße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10713, Germany",False
POINT (13.3499146 52.4848336),Märchenspielplatz,im Heinrich-Lassen-Park,"Heinrich-Lassen-Park, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Germany",False
POINT (13.3136555 52.483645),Barbrücke,über dem Fennsee,"Barbrücke, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10713, Germany",False
POINT (13.3286365 52.4789145),Vogelstatue,auf dem Bundesplatz,"Phönix, Bundesplatztunnel, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10715, Germany",False
POINT (13.3330346 52.4932124),Brunnen,auf dem Prager Platz,"52.49318, 13.33302",False
POINT (13.3418333 52.495723),Brunnen,auf dem Viktoria-Luise-Platz,"52.49573, 13.34186",False
POINT (13.3271883 52.4984922),Fasanenplatz,,"Fasanenplatz, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10719, Germany",False
POINT (13.3224141 52.5060994),Savignyplatz,,"Savignyplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10623, Germany",False
POINT (13.3603221 52.4923519),Königskolonnaden,im Heinrich-von-Kleist-Park,"Königskolonnaden, Schöneberg, Tempelhof-Schöneberg, Berlin, 10781, Germany",False
POINT (13.3460228 52.4889489),Amtsgericht Schöneberg,,"Amtsgericht Schöneberg, 66-67, Grunewaldstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Germany",False
POINT (13.3873177 52.4841102),Luftbrückendenkmal,auf dem Platz der Luftbrücke,"Luftbrückendenkmal, Platz der Luftbrücke, Stadtquartier Friesenstraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Germany",False
POINT (13.3572702 52.4814899),Gasometer,in Schöneberg,"Gasometer Schöneberg, 17, Torgauer Straße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Germany",False
POINT (13.3751887 52.4926309),Museumsbahn,im Park am Gleisdreieck,"Waldterrasse, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Germany",False
POINT (13.3734935 52.4899362),Flaschenhalspark,,"Dora-Duncker-Park, Schöneberg, Tempelhof-Schöneberg, Berlin, Germany",False
POINT (13.3787574 52.4781882),Storchenbrunnen,auf dem Adolf-Scheidt-Platz,"Adolf-Scheidt-Platz, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Germany",False
POINT (13.4163979 52.4831256),Naturtheater,im Volkspark Hasenheide,"Freiluftkino Hasenheide, Columbiadamm, Schillerkiez, Neukölln, Berlin, 10965, Germany",False
POINT (13.3912016 52.4717404),Landebahn,auf dem Tempelhofer Feld,"52.47174, 13.3912",False
POINT (13.4248219 52.4870919),Tanzende Paar,auf dem Hermannplatz,"Das tanzende Paar, Hermannplatz, Reuterkiez, Neukölln, Berlin, 10967, Germany",False
POINT (13.4227847 52.4912101),Ziegenskulptur,auf dem Hohenstaufenplatz,"blauer wasserspender, Lachmannstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Germany",False
POINT (13.4151162 52.4952611),Admiralbrücke,über dem Landwehrkanal,"Admiralbrücke, Admiralstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Germany",False
POINT (13.4298872 52.4892699),Fritz-Reuter-Brunnen,auf dem Reuterplatz,"Fritz-Reuter-Brunnen, Reuterplatz, Reuterkiez, Neukölln, Berlin, 12047, Germany",False
POINT (13.4051975 52.4966463),Baerwaldbrücke,,"Baerwaldbrücke, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Germany",False
